closure_ratio,avg_closure_ms,blink_rate,label
0.08,120,20,Alert
0.1,140,18,Alert
0.12,160,19,Alert
0.15,180,17,Alert
0.11,130,21,Alert
0.18,200,16,Alert
0.2,220,15,Alert
0.13,170,18,Alert
0.16,190,17,Alert
0.09,110,22,Alert
0.22,250,14,Alert
0.19,210,15,Alert
0.14,155,19,Alert
0.17,195,16,Alert
0.21,230,14,Alert
0.25,280,13,Alert
0.23,260,14,Alert
0.27,300,12,Alert
0.29,320,12,Alert
0.24,270,13,Alert
0.35,500,9,Drowsy
0.38,550,8,Drowsy
0.42,650,7,Drowsy
0.45,700,6,Drowsy
0.48,850,4,Drowsy
0.5,900,5,Drowsy
0.52,950,4,Drowsy
0.44,720,6,Drowsy
0.47,800,5,Drowsy
0.55,1000,3,Drowsy
0.4,600,7,Drowsy
0.49,870,5,Drowsy
0.58,1100,3,Drowsy
0.46,780,6,Drowsy
0.53,920,4,Drowsy
0.43,680,7,Drowsy
0.51,880,5,Drowsy
0.57,1050,3,Drowsy
0.39,580,8,Drowsy
0.54,980,4,Drowsy
